16MA052791|ACTARIS|3006097297W10
126050026013|UNKNOWN|3021559891S1X
50040045013|UNKNOWN|3200037989S10
50040045012|UNKNOWN|3200037989S10
63081082014|UNKNOWN|3200037997S18
63081082012|UNKNOWN|3200037997S18
63081082013|UNKNOWN|3200037997S18
65856257011|UNKNOWN|3200038012S16
101020472002|UNKNOWN|3200038020S13
112040344011|UNKNOWN|3200038039S10
141110228014|UNKNOWN|3200038047S18
141110228012|UNKNOWN|3200038047S18
50040044012|UNKNOWN|3200038055S15
101060020011|UNKNOWN|3200038063S12
51930676013|UNKNOWN|3200038071S1X
51930676014|UNKNOWN|3200038071S1X
51930676012|UNKNOWN|3200038071S1X
