MPW|Metered Potable Water|D7101|Metered Potable Water Meter Fixed Charges|range|Meter Size range|mm|£/a
MPW|Metered Potable Water|D7102|Metered Potable Water Supply Point Fixed Charges|decimal|||£/a
MPW|Metered Potable Water|D7103|Metered Potable Water Block Tariff|range|block tariff table|m3/a|£/m3
MPW|Metered Potable Water|D7104|Metered Potable Water Capacity Charge|range|standby capacity table|m3/day|£/a per m3/day
MPW|Metered Potable Water|D7105|Metered Potable Water Premium Tolerance Factor|decimal||percentage|
MPW|Metered Potable Water|D7106|Metered Potable Water Daily Standby Usage Volume Charge|decimal|||£/m3
MPW|Metered Potable Water|D7107|Metered Potable Water Daily Premium Usage Volume Charge|decimal|||£/m3
MPW|Metered Potable Water|D7108|Metered Potable Water Maximum Demand Tariff|decimal|||£/a per m3/day
AW|Assessed Water|D7201| Assessed Water Fixed Charge|decimal|||£/a
AW|Assessed Water|D7202 |Assessed Water Meter Fixed Charges|range|Meter Size range||£/a
AW|Assessed Water|D7203 |Assessed Water Volumetric Charge|decimal|||£/m3
AW|Assessed Water|D7204 |Assessed Water Band Charge|bandCharge|tariff band table||£/a
UW|Unmeasured Water|D7251|Unmeasured Water Fixed Charge|decimal|||£/a
UW|Unmeasured Water|D7252|Unmeasured Water RV Poundage|Zone|||£/a per £RV
UW|Unmeasured Water|D7253|Unmeasured Water RV Threshold|decimal|||£RV
UW|Unmeasured Water|D7254|Unmeasured Water RV Maximum Charge|decimal|||£/a
UW|Unmeasured Water|D7255|Unmeasured Water RV Minimum Charge|decimal|||£/a
UW|Unmeasured Water|D7256|Unmeasured Water Miscellaneous Type A Charge|decimal|||£/a
UW|Unmeasured Water|D7257|Unmeasured Water Miscellaneous Type B Charge|decimal|||£/a
UW|Unmeasured Water|D7258|Unmeasured Water Miscellaneous Type C Charge|decimal|||£/a
UW|Unmeasured Water|D7259|Unmeasured Water Miscellaneous Type D Charge|decimal|||£/a
UW|Unmeasured Water|D7260|Unmeasured Water Miscellaneous Type E Charge|decimal|||£/a
UW|Unmeasured Water|D7261|Unmeasured Water Miscellaneous Type F Charge|decimal|||£/a
UW|Unmeasured Water|D7262|Unmeasured Water Miscellaneous Type G Charge|decimal|||£/a
UW|Unmeasured Water|D7263|Unmeasured Water Miscellaneous Type H Charge|decimal|||£/a
UW|Unmeasured Water|D7264|Unmeasured Water Pipe Fixed Charge|range|tariff lookup table||£/a
MS|Metered Sewerage|D7301 |Metered Sewerage Meter Fixed Charges|range|Meter Size range||£/a
MS|Metered Sewerage|D7302 |Metered Sewerage Supply Point Fixed Charges|decimal|||£/a
MS|Metered Sewerage|D7303 |Metered Sewerage Block  Tariff|range|block tariff table||(m3/a)-> £/m3
AS|Assessed Sewerage|D7351| Assessed Sewerage Fixed Charge|decimal|||£/a
AS|Assessed Sewerage|D7352|Assessed Sewerage Meter Fixed Charges|range|Meter Size range||£/a
AS|Assessed Sewerage|D7353| Assessed Sewerage Volumetric Charge|decimal|||£/m3
