NO_IWCS|NM_PREFERRED|NO_ACCOUNT|INSTALLEDPROPERTYNUMBER|METERREF|MANUFACTURER_PK|MANUFACTURERSERIALNUM_PK
01222064601|VYRNWY DEVELOPMENTS LTD|466003015|547073802|532007782|SCHLUMBERGER|03163545
01226025501|SUNDORNE PRODUCTS LTD|320002595|547004206|420021516|KENTMETERS|00210221
01248064601|WELSHPOOL LIVESTOCK SALES|273004589|180002328|168002053|ACTARIS|11042681
01345017201|ABP SHREWSBURY|203002002|330002098|937002528|SCHLUMBERGER|09242207
01345017201|ABP SHREWSBURY|203002002|330002098|507002024|KENTMETERS|97002864
01345065601|VEOLIA ES SHROPSHIRE LIMITED|112005926|146002125|132007104|SCHLUMBERGER|12XH114731.
01345065602|VEOLIA ES SHROPSHIRE LIMITED|112005926|146002125|132007104|SCHLUMBERGER|12XH114731.
01345065801|BANNATYNES FITNESS LTD|117002397|904002100|273005006|ACTARIS|10054984
01345065801|BANNATYNES FITNESS LTD|117002397|904002100|569003352|ACTARIS|13KC001658
01345066201|ANDUFF CAR WASH LTD|756002574|831252367|275046625|SCHLUMBERGER|01000767
01345067101|ARRIVA BUS DEPT|223004311|475002141|397007243|ACTARIS|16JD032502
01352059801|SHROPSHIRE COMMUNITY LEISURE TRUST|183016076|864002018|310002725|SCHLUMBERGER|14JE092104
01353066601|TUDOR GRIFFITHS LTD|211002090|792002066|818002014|KENTMETERS|98002812
01353066601|TUDOR GRIFFITHS LTD|211002090|792002067|818002060|KENTMETERS|98018206
01353067101|VEOLIA ES SHROPSHIRE LIMITED|418005446|337002268|324003746|SCHLUMBERGER|08HB012031
02110076501|VEOLIA ES (UK) LIMITED|836004878|601022123|506003161|ACTARIS|12MA040947
02117044901|SBP LTD T/A TELFORD EXTRUSIONS|406002991|434003510|222002019|KENTMETERS|97948963
02117044901|SBP LTD T/A TELFORD EXTRUSIONS|406002991|434003510|325004408|ACTARIS|10040953A
02117091501|CHEQUER FOODS LTD|875003898|831002192|371002502|SCHLUMBERGER|12LU010657
02117091501|CHEQUER FOODS LTD|875003898|831002192|338002042|KENTMETERS|97032889
02122000101|HARPER ADAMS UNIVERSITY|272008594|152016815|540005274|SCHLUMBERGER|11080084.
02145000901|ROBERT WISEMAN and SONS LTD|560003597|842002169|249005350|SCHLUMBERGER|14XH006492
02145000902|ROBERT WISEMAN and SONS LTD|560003597|842002169|249005350|SCHLUMBERGER|14XH006492
02163000201|VEOLIA ES ONYX UK LTD|406003248|908035856|549008033|SCHLUMBERGER|14BU030399
02163001401|INTERSERVE (FACILITIES MANAGEMENT) LTD|348003347|737002276|579002940|SCHLUMBERGER|16JE059130
02163001601|TM TELFORD DAIRY LTD|673004097|820002145|580003124|UNKNOWN|11071333
02163013201|WREKIN CIRCUITS LTD|275002011|810002012|385002094|KENTMETERS|06121803
02163013201|WREKIN CIRCUITS LTD|275002011|810002012|911012577|SCHLUMBERGER|16JE016720
02163013201|WREKIN CIRCUITS LTD|275002011|810002012|32002220|KENTMETERS|06121804
02163013202|WREKIN CIRCUITS LTD|275002011|810002012|32002220|KENTMETERS|06121804
02163013202|WREKIN CIRCUITS LTD|275002011|810002012|385002094|KENTMETERS|06121803
02163013202|WREKIN CIRCUITS LTD|275002011|810002012|911012577|SCHLUMBERGER|16JE016720
02163078801|DENSO MANUFACTURING UK LTD|697002010|225002505|373002358|KENTMETERS|9600325
02163078802|DENSO MANUFACTURING UK LTD|697002010|225002505|373002358|KENTMETERS|9600325
02163080401|WM MORRISON SUPERMARKETS PLC|930002004|406002043|120004505|ACTARIS|13KE078206
02163080401|WM MORRISON SUPERMARKETS PLC|930002004|406002044|468005253|ACTARIS|13KC070598
02163090202|H J HEINZ MANUFACTURING UK LTD|563002012|303004952|720003173|SCHLUMBERGER|0901174
02163090301|SHREWSBURY and TELFORD NHS TRUST|826007147|159002241|462007453|ACTARIS|16KD010110
02163090401|SHREWSBURY and TELFORD NHS TRUST|716009284|225002635|742002526|SCHLUMBERGER|12XH092930
02163090601|PICKSTOCKS (ASHBY) LTD|793006169|216002534|307005264|ACTARIS|15KE054265
02166014801|HMYOI STOKE HEATH|453002005|225002307|974002966|SCHLUMBERGER|13XF109656
02166014801|HMYOI STOKE HEATH|453002005|225002307|572006527|SCHLUMBERGER|14XH151857
02415000101|HOBSONS BREWERY and COMPANY LTD|151013139|667002291|412006495|SCHLUMBERGER|13BU000243
02429000201|HARRY TUFFINS LIMITED|511002755|721002230|797002427|KENTMETERS|06240216
03003002300|EXPRESS and STAR LTD|777002014|596002693|657002418|KENTMETERS|99812788
03003002300|EXPRESS and STAR LTD|777002014|596002476|124003883|SCHLUMBERGER|10078835
