Fusion Meters Limited|b|M-Bus wired
Kent Meters Limited|b|M-Bus wired
Pont-a-Mousson|b|M-Bus wired
Radio Actaris|b|M-Bus wired
Radio Actaris|c|RADIAN 2way radio
Radio Actaris|d|RADIAN 2way radio
Schlumberger Water Meters Ltd|b|M-Bus wired
Schlumberger Water Meters Ltd|c|RADIAN 2way radio
Schlumberger Water Meters Ltd|d|RADIAN 2way radio
Sensus|b|M-Bus wired
Smartmeter|b|M-Bus wired
Soc-a-Mousson|b|M-Bus wired
Unknown|b|Touchpad
Unknown|c|Radio
Unknown|d|Remote
Soc-a-Mousson|c|Not known
Kent Meters Limited|c|Not known
Sensus|c|Not known
Fusion Meters Limited|c|Not known
Smartmeter|c|Not known
Neptune Meters Limited|b|Not known
Kent Meters Limited|d|Not known
Fusion Meters Limited|d|Not known
Frost Meters Limited|b|Not known
