AFFINITY-R|AFFINITY-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Affinity Water Limited 
AFFINITY-W|AFFINITY-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Affinity Water Limited 
ALBION-W|ALBION-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Albion Water Limited
ALBION-R|ALBION-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Albion Water Limited
ANGLIAN-W|ANGLIAN-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Anglian Water Services Limited
ANGLIAN-R|ANGLIAN-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Anglian Water Services Limited
ONDEO-R|ONDEO-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Ondeo Industrial Solutions Limited
NORTHUM-W|NORTHUM-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Northumbrian Water Limited
NORTHUM-R|NORTHUM-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Northumbrian Water Limited
PEEL-W|PEEL-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Peel Water Networks Limited
PEEL-R|PEEL-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Peel Water Networks Limited
SCOTTISH-W|SCOTTISH-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Scottish Water - W / Business Stream Limited
BUSSTREAM-R|BUSSTREAM-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Scottish Water - R / Business Stream Limited 
UNITED-W|UNITED-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||United Utilities Water Limited
UNITED-R|UNITED-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||United Utilities Water Limited
YORKSHIRE-W|YORKSHIRE-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Yorkshire Water Services Limited
YORKSHIRE-R|YORKSHIRE-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Yorkshire Water Services Limited
COBALT-R|COBALT-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Cobalt Water Limited
CASTLE-R|CASTLE-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Castle Water Limited
SOUTHEAST-W|SOUTHEAST-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||South East Water Limited
SOUTHEAST-R|SOUTHEAST-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||South East Water Limited
SOUTHERN-W|SOUTHERN-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Southern Water Services Limited
SOUTHERN-R|SOUTHERN-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Southern Water Services Limited
SUTTON-W|SUTTON-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Sutton and East Surrey Water Plc
SUTTON-R|SUTTON-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Sutton and East Surrey Water Plc
THAMES-W|THAMES-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Thames Water Limited
THAMES-R|THAMES-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Thames Water Limited
BLUEBUS-R|BLUEBUS-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Blue Business Water Limited
BOURNEMTH-W|BOURNEMTH-W|WHOLESALER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Bournemouth Water Limited
BOURNEMTH-R|BOURNEMTH-R|RETAILER|FULL|OPTIN|WS|OPTIN||VWA|VSA|TWA|TSA||Bournemouth Water Limited
